Unnamed: 0,address,city,floor,id,latitude,longitude,price,rooms,sq,year
1072,Mokotow Bachmacka,Warszawa,4.0,16570.0,52.1933481,21.005482,449000.0,1.0,36.0,1956.0
1073,Bemowo Powstancow lsskich,Warszawa,4.0,7444.0,52.2391078,20.9130415,475000.0,3.0,51.48,1975.0
1074,Grzegorzki ul Grzegorzecka,Krakow,2.0,28746.0,50.0587885,19.9500605,368011.0,1.0,27.67,2020.0
1075,rodmiecie ul Chmielna,Warszawa,4.0,6434.0,52.2324839,21.0175323,625000.0,2.0,45.31,1966.0
1076,Biaoeka ul Gebocka,Warszawa,1.0,10231.0,52.3234679,21.0670915,301458.0,2.0,37.12,2020.0
1077,Podgorze ul Stanisawa Klimeckiego,Krakow,3.0,24917.0,50.0492242,19.9703793,469000.0,2.0,39.18,2021.0
1078,PragaPonoc ul Szwedzka,Warszawa,1.0,12279.0,52.2634539,21.0453302,591449.04,2.0,46.41,2022.0
1079,Bienczyce os Kazimierzowskie,Krakow,3.0,29893.0,50.0861204,20.0244875,298000.0,2.0,38.0,1972.0
1080,Stare Miasto al Zygmunta Krasinskiego,Krakow,1.0,29506.0,50.0625427,19.918772,849000.0,3.0,101.0,1930.0
1081,Wilda Debiec,Poznan,10.0,1507.0,52.3711081,16.9163707,399000.0,2.0,36.96,2020.0
1082,Debniki Ruczaj,Krakow,0.0,20033.0,50.0230156,19.9083637,680000.0,3.0,67.0,2009.0
1083,Nowe Miasto Malta ul Katowicka,Poznan,4.0,5850.0,52.3973449,16.9619394,429887.5,3.0,49.13,2022.0
1084,Podgorze Duchackie Wola Duchacka,Krakow,4.0,26728.0,50.0146222,19.953758,460000.0,2.0,49.0,2004.0
1085,Mokotow Ciechocinska,Warszawa,3.0,15598.0,52.1785351,21.0671773,928000.0,4.0,82.1,2021.0
1086,Jezyce Wola os Lotnictwa Polskiego,Poznan,3.0,342.0,52.422511,16.8673444,385000.0,2.0,53.4,1994.0
1087,Wilda Debiec Racjonalizatorow,Poznan,1.0,2527.0,52.3667939,16.9057089,330001.0,2.0,45.0,1970.0
1088,Biaoeka,Warszawa,2.0,15743.0,52.3196649,21.0211773,308000.0,2.0,34.0,2020.0
1089,Podgorze,Krakow,3.0,25000.0,50.0430999,19.9529614,269000.0,1.0,35.44,2020.0
1090,Bemowo,Warszawa,0.0,7051.0,52.2389738,20.9132881,669000.0,3.0,59.0,2019.0
1091,Wawer,Warszawa,4.0,16352.0,52.2203581,21.1370825,469000.0,4.0,55.0,1960.0
1092,Zoliborz Adama Mickiewicza,Warszawa,7.0,16493.0,52.2210915,21.01814919975232,560000.0,2.0,48.97,1980.0
1093,Wola ul Fort Wola,Warszawa,1.0,15755.0,52.2245069,20.9293579,599000.0,2.0,52.0,2020.0
1094,BiezanowProkocim Biezanow,Krakow,2.0,22725.0,50.0128958,20.0258584,349000.0,2.0,36.0,1982.0
1095,Ursynow Wswozowa,Warszawa,3.0,12613.0,52.2319581,21.0067249,599000.0,2.0,60.0,2001.0
1096,Debniki,Krakow,3.0,26951.0,50.0518611,19.9270367,1606684.0,4.0,92.53,2019.0
1097,BiezanowProkocim Zocien,Krakow,1.0,23196.0,50.0225216,20.0481276,276200.0,2.0,35.88,2021.0
1098,BiezanowProkocim,Krakow,1.0,28249.0,50.01706235,20.022991856015395,532611.0,3.0,64.17,2021.0
1099,Podgorze Duchackie Wola Duchacka,Krakow,1.0,29756.0,50.0146222,19.953758,419000.0,2.0,45.32,2021.0
1100,Bienczyce,Krakow,2.0,25919.0,50.08605125,20.02922626218556,340000.0,2.0,38.0,1970.0
1101,Nowe Miasto Kobyle Pole abpa Walentego Dymka,Poznan,1.0,2810.0,52.3938613,16.9910647,253330.0,1.0,32.9,2022.0
